TransactionID,OrderID,Order Date,Quantity,ProductID,RepID,ChannelID,PaymentID,SegmentID,CustomerID
TRX100495,ORD556317,01/01/2022,3,P1566,R1001,C-1001,PM-1122,SID-1001,C27111
TRX104459,ORD556388,01/01/2022,4,P3193,R1002,C-1002,PM-1123,SID-1001,C22929
TRX100158,ORD572431,02/01/2022,3,P9484,R1003,C-1003,PM-1124,SID-1002,C25323
TRX103237,ORD580968,02/01/2022,4,P2653,R1004,C-1004,PM-1125,SID-1001,C20235
TRX103721,ORD680737,02/01/2022,2,P0126,R1005,C-1002,PM-1126,SID-1002,C26058
TRX100962,ORD600407,03/01/2022,2,P6794,R1006,C-1002,PM-1127,SID-1003,C29368
TRX103258,ORD628396,03/01/2022,4,P5552,R1006,C-1003,PM-1122,SID-1004,C27018
TRX103505,ORD555344,03/01/2022,8,P7834,R1001,C-1002,PM-1123,SID-1001,C23046
TRX103794,ORD547431,03/01/2022,2,P1628,R1002,C-1003,PM-1124,SID-1002,C25769
TRX100466,ORD617795,04/01/2022,2,P5107,R1003,C-1004,PM-1125,SID-1003,C22805
TRX101795,ORD623019,04/01/2022,2,P0481,R1004,C-1002,PM-1126,SID-1001,C22338
TRX103762,ORD651283,04/01/2022,5,P1840,R1005,C-1002,PM-1127,SID-1002,C22802
TRX100269,ORD685640,05/01/2022,5,P6454,R1006,C-1002,PM-1122,SID-1001,C23066
TRX104484,ORD583849,05/01/2022,3,P4101,R1007,C-1002,PM-1122,SID-1002,C24252
TRX100872,ORD616509,06/01/2022,4,P2359,R1008,C-1002,PM-1123,SID-1003,C28825
TRX101021,ORD647631,06/01/2022,4,P7251,R1009,C-1002,PM-1124,SID-1001,C20173
TRX101289,ORD640467,06/01/2022,4,P1566,R1010,C-1003,PM-1125,SID-1002,C26647
TRX103205,ORD640536,06/01/2022,5,P3193,R1001,C-1002,PM-1126,SID-1003,C22369
TRX103442,ORD516175,06/01/2022,3,P9484,R1001,C-1003,PM-1127,SID-1004,C25366
TRX104328,ORD658438,06/01/2022,1,P2653,R1002,C-1004,PM-1123,SID-1001,C20716
TRX100142,ORD540596,07/01/2022,1,P0126,R1001,C-1002,PM-1125,SID-1002,C26120
TRX102456,ORD569410,07/01/2022,5,P6794,R1002,C-1003,PM-1126,SID-1003,C21797
TRX100375,ORD567434,08/01/2022,2,P5552,R1003,C-1004,PM-1127,SID-1004,C29628
TRX102490,ORD522353,08/01/2022,6,P7834,R1004,C-1002,PM-1123,SID-1001,C28230
TRX103858,ORD696279,08/01/2022,5,P1628,R1005,C-1003,PM-1125,SID-1002,C25426
TRX104230,ORD636351,09/01/2022,5,P5107,R1006,C-1004,PM-1126,SID-1003,C28755
TRX104521,ORD674258,09/01/2022,3,P0481,R1007,C-1001,PM-1127,SID-1004,C25337
TRX103029,ORD527799,10/01/2022,3,P1840,R1001,C-1002,PM-1123,SID-1001,C24753
TRX104202,ORD603771,10/01/2022,3,P1566,R1002,C-1003,PM-1125,SID-1001,C21100
TRX104220,ORD504982,10/01/2022,4,P3193,R1003,C-1004,PM-1126,SID-1002,C20369
TRX104855,ORD687852,10/01/2022,6,P9484,R1004,C-1001,PM-1127,SID-1001,C24766
TRX101762,ORD560882,11/01/2022,6,P2653,R1005,C-1002,PM-1123,SID-1002,C24281
TRX102309,ORD504108,11/01/2022,5,P0126,R1006,C-1001,PM-1125,SID-1003,C23748
TRX102816,ORD510764,11/01/2022,4,P6794,R1007,C-1001,PM-1126,SID-1004,C24441
TRX104797,ORD644984,11/01/2022,5,P5552,R1008,C-1002,PM-1127,SID-1001,C28138
TRX100538,ORD505689,12/01/2022,3,P7834,R1009,C-1003,PM-1123,SID-1002,C25582
TRX104648,ORD693534,12/01/2022,3,P1628,R1010,C-1004,PM-1125,SID-1003,C25805
TRX100605,ORD505486,13/01/2022,4,P5107,R1001,C-1001,PM-1126,SID-1001,C24320
TRX101428,ORD593708,13/01/2022,1,P0481,R1002,C-1002,PM-1127,SID-1002,C25681
TRX104761,ORD507867,13/01/2022,5,P1840,R1003,C-1003,PM-1123,SID-1001,C22241
TRX100027,ORD693224,14/01/2022,1,P6454,R1004,C-1004,PM-1125,SID-1002,C22182
TRX102375,ORD524443,14/01/2022,5,P4101,R1005,C-1001,PM-1127,SID-1003,C20036
TRX102671,ORD633304,14/01/2022,4,P2359,R1006,C-1002,PM-1122,SID-1001,C24831
TRX102690,ORD690292,14/01/2022,5,P7251,R1006,C-1003,PM-1123,SID-1002,C23614
TRX102879,ORD635579,14/01/2022,6,P4495,R1001,C-1004,PM-1124,SID-1003,C25723
TRX103496,ORD550556,14/01/2022,3,P0225,R1002,C-1002,PM-1125,SID-1004,C29894
TRX104969,ORD625409,14/01/2022,3,P1894,R1003,C-1002,PM-1122,SID-1001,C21524
TRX100204,ORD699001,15/01/2022,4,P4355,R1004,C-1003,PM-1123,SID-1002,C21478
TRX101481,ORD613008,16/01/2022,6,P4309,R1005,C-1002,PM-1124,SID-1003,C27606
TRX101490,ORD525927,16/01/2022,7,P2707,R1006,C-1003,PM-1125,SID-1004,C27713
TRX104099,ORD630764,16/01/2022,4,P7603,R1007,C-1004,PM-1126,SID-1001,C28602
TRX104723,ORD538998,16/01/2022,2,P8444,R1008,C-1002,PM-1127,SID-1002,C24726
TRX100348,ORD657095,17/01/2022,4,P1566,R1009,C-1002,PM-1126,SID-1003,C23799
TRX101152,ORD520002,17/01/2022,3,P3193,R1010,C-1002,PM-1122,SID-1004,C25544
TRX102128,ORD653859,17/01/2022,4,P9484,R1001,C-1002,PM-1123,SID-1001,C21040
TRX103268,ORD531965,17/01/2022,5,P2653,R1001,C-1002,PM-1124,SID-1001,C27167
TRX103480,ORD589951,17/01/2022,5,P0126,R1002,C-1002,PM-1125,SID-1002,C29949
TRX103290,ORD658429,18/01/2022,2,P6794,R1001,C-1003,PM-1126,SID-1001,C26243
TRX104080,ORD506704,18/01/2022,3,P5552,R1002,C-1002,PM-1127,SID-1002,C26380
TRX102334,ORD610924,19/01/2022,6,P7834,R1003,C-1003,PM-1126,SID-1003,C28722
TRX102678,ORD650262,19/01/2022,3,P1628,R1004,C-1004,PM-1122,SID-1004,C22895
TRX104075,ORD648836,19/01/2022,3,P5107,R1005,C-1002,PM-1127,SID-1001,C20458
TRX104690,ORD648961,19/01/2022,4,P0481,R1006,C-1003,PM-1126,SID-1002,C28082
TRX100326,ORD548849,20/01/2022,3,P1840,R1007,C-1004,PM-1122,SID-1003,C23298
TRX100385,ORD585730,20/01/2022,7,P6454,R1001,C-1002,PM-1127,SID-1001,C22654
TRX101124,ORD660336,20/01/2022,6,P4101,R1002,C-1003,PM-1126,SID-1002,C22333
TRX102734,ORD533906,20/01/2022,4,P2359,R1003,C-1004,PM-1122,SID-1001,C26191
TRX103095,ORD650730,20/01/2022,2,P7251,R1004,C-1001,PM-1127,SID-1002,C27222
TRX103267,ORD612481,20/01/2022,11,P4495,R1005,C-1002,PM-1126,SID-1003,C24669
TRX103503,ORD685469,20/01/2022,1,P0225,R1006,C-1003,PM-1122,SID-1001,C25286
TRX104293,ORD595371,20/01/2022,3,P1894,R1007,C-1004,PM-1127,SID-1002,C26342
TRX104356,ORD555722,20/01/2022,5,P4355,R1008,C-1001,PM-1126,SID-1003,C28870
TRX100749,ORD573892,21/01/2022,7,P4309,R1009,C-1002,PM-1122,SID-1004,C25026
TRX102959,ORD503089,22/01/2022,4,P2707,R1010,C-1001,PM-1127,SID-1001,C29913
TRX104912,ORD631362,22/01/2022,4,P7603,R1001,C-1001,PM-1126,SID-1002,C26773
TRX104791,ORD590912,23/01/2022,5,P8444,R1002,C-1002,PM-1122,SID-1003,C23205
TRX100132,ORD618070,24/01/2022,4,P1566,R1003,C-1003,PM-1127,SID-1004,C26822
TRX102385,ORD680706,24/01/2022,2,P3193,R1004,C-1004,PM-1126,SID-1001,C25828
TRX103404,ORD629789,24/01/2022,8,P9484,R1005,C-1001,PM-1122,SID-1002,C21250
TRX103786,ORD623876,24/01/2022,5,P2653,R1006,C-1002,PM-1127,SID-1003,C25473
TRX104422,ORD657365,24/01/2022,3,P0126,R1006,C-1003,PM-1126,SID-1004,C29065
TRX102694,ORD658465,25/01/2022,6,P6794,R1001,C-1004,PM-1122,SID-1001,C29529
TRX103341,ORD621807,25/01/2022,8,P5552,R1002,C-1001,PM-1127,SID-1001,C22069
TRX103596,ORD678172,25/01/2022,9,P7834,R1003,C-1002,PM-1126,SID-1002,C20479
TRX100705,ORD619195,26/01/2022,2,P1628,R1004,C-1003,PM-1122,SID-1001,C29342
TRX100816,ORD626351,26/01/2022,4,P5107,R1005,C-1004,PM-1123,SID-1002,C24739
TRX102841,ORD594684,26/01/2022,2,P0481,R1006,C-1002,PM-1124,SID-1003,C25231
TRX103402,ORD640846,26/01/2022,4,P1840,R1007,C-1002,PM-1125,SID-1004,C21205
TRX103444,ORD625554,26/01/2022,6,P6454,R1008,C-1003,PM-1126,SID-1001,C23600
TRX103953,ORD517054,26/01/2022,5,P4101,R1009,C-1002,PM-1127,SID-1002,C26159
TRX104403,ORD642951,26/01/2022,4,P2359,R1010,C-1003,PM-1122,SID-1003,C27062
TRX104329,ORD504762,27/01/2022,2,P7251,R1001,C-1004,PM-1123,SID-1001,C25146
TRX104580,ORD536056,27/01/2022,5,P4495,R1001,C-1002,PM-1124,SID-1002,C29424
TRX104617,ORD517339,27/01/2022,3,P0225,R1002,C-1002,PM-1125,SID-1001,C25142
TRX100804,ORD549902,29/01/2022,5,P1894,R1001,C-1002,PM-1126,SID-1002,C22332
TRX100990,ORD551460,29/01/2022,4,P4355,R1002,C-1002,PM-1127,SID-1003,C21194
TRX101204,ORD543306,29/01/2022,4,P4309,R1003,C-1002,PM-1122,SID-1001,C28609
TRX102356,ORD694166,29/01/2022,9,P2707,R1004,C-1002,PM-1123,SID-1002,C28416
TRX103356,ORD605347,29/01/2022,5,P7603,R1005,C-1003,PM-1124,SID-1003,C29720
TRX104225,ORD670396,29/01/2022,1,P8444,R1006,C-1002,PM-1125,SID-1004,C25863
TRX100257,ORD524336,31/01/2022,4,P1566,R1007,C-1003,PM-1126,SID-1001,C22985
TRX101299,ORD650111,31/01/2022,1,P3193,R1001,C-1004,PM-1127,SID-1002,C27773
TRX101061,ORD639105,01/02/2022,8,P9484,R1002,C-1002,PM-1122,SID-1003,C29562
TRX102603,ORD647448,01/02/2022,3,P2653,R1003,C-1003,PM-1123,SID-1004,C22735
TRX101304,ORD668615,02/02/2022,3,P0126,R1004,C-1004,PM-1122,SID-1001,C27679
TRX102509,ORD527909,02/02/2022,3,P6794,R1005,C-1002,PM-1123,SID-1002,C26673
TRX102689,ORD608564,02/02/2022,5,P5552,R1006,C-1003,PM-1124,SID-1003,C27244
TRX102757,ORD560661,02/02/2022,5,P7834,R1007,C-1004,PM-1125,SID-1004,C22672
TRX101787,ORD565390,03/02/2022,4,P1628,R1008,C-1001,PM-1126,SID-1001,C26271
TRX101819,ORD684640,03/02/2022,4,P5107,R1009,C-1002,PM-1127,SID-1001,C28234
TRX102637,ORD566288,03/02/2022,5,P0481,R1010,C-1003,PM-1124,SID-1002,C23541
TRX103232,ORD654993,03/02/2022,6,P1840,R1001,C-1004,PM-1125,SID-1001,C23526
TRX102195,ORD635413,04/02/2022,5,P6454,R1002,C-1001,PM-1126,SID-1002,C26479
TRX102695,ORD683146,04/02/2022,6,P4101,R1003,C-1002,PM-1127,SID-1003,C20420
TRX103353,ORD651186,04/02/2022,7,P2359,R1004,C-1001,PM-1122,SID-1004,C27082
TRX104757,ORD504167,04/02/2022,3,P7251,R1005,C-1001,PM-1123,SID-1001,C22334
TRX100761,ORD577804,05/02/2022,5,P4495,R1006,C-1002,PM-1124,SID-1002,C26039
TRX102700,ORD592809,05/02/2022,5,P0225,R1006,C-1003,PM-1125,SID-1003,C21225
TRX104229,ORD521858,06/02/2022,3,P1894,R1001,C-1004,PM-1126,SID-1001,C29961
TRX104452,ORD647849,06/02/2022,3,P4355,R1002,C-1001,PM-1127,SID-1002,C29709
TRX101662,ORD654676,07/02/2022,1,P4309,R1003,C-1002,PM-1122,SID-1001,C24476
TRX101505,ORD546735,08/02/2022,4,P2707,R1004,C-1003,PM-1123,SID-1002,C27462
TRX101764,ORD619697,08/02/2022,6,P7603,R1005,C-1004,PM-1124,SID-1003,C28379
TRX102224,ORD676624,08/02/2022,2,P8444,R1006,C-1001,PM-1122,SID-1001,C28782
TRX104883,ORD688374,08/02/2022,2,P1566,R1007,C-1002,PM-1123,SID-1002,C20797
TRX100162,ORD512956,09/02/2022,5,P3193,R1008,C-1003,PM-1124,SID-1003,C20215
TRX100652,ORD528896,09/02/2022,5,P9484,R1009,C-1004,PM-1125,SID-1004,C29994
TRX103657,ORD572486,09/02/2022,2,P2653,R1010,C-1002,PM-1126,SID-1001,C29637
TRX104260,ORD610317,09/02/2022,4,P0126,R1001,C-1002,PM-1127,SID-1002,C20870
TRX100601,ORD606542,10/02/2022,1,P6794,R1001,C-1003,PM-1125,SID-1003,C24971
TRX103718,ORD677649,10/02/2022,3,P5552,R1002,C-1002,PM-1126,SID-1004,C21106
TRX104280,ORD601071,10/02/2022,5,P7834,R1001,C-1003,PM-1127,SID-1001,C22795
TRX100662,ORD533098,11/02/2022,2,P1628,R1002,C-1004,PM-1122,SID-1002,C27415
TRX101811,ORD660420,11/02/2022,5,P5107,R1003,C-1002,PM-1123,SID-1003,C24426
TRX103815,ORD590868,11/02/2022,4,P0481,R1004,C-1002,PM-1124,SID-1004,C22427
TRX103995,ORD540225,11/02/2022,3,P1840,R1005,C-1002,PM-1125,SID-1001,C24253
TRX104074,ORD580114,11/02/2022,5,P6454,R1006,C-1002,PM-1126,SID-1001,C21684
TRX100925,ORD693999,12/02/2022,1,P4101,R1007,C-1002,PM-1127,SID-1002,C26358
TRX101517,ORD652802,12/02/2022,5,P2359,R1001,C-1002,PM-1122,SID-1001,C25468
TRX100198,ORD694987,13/02/2022,6,P7251,R1002,C-1003,PM-1123,SID-1002,C22248
TRX101273,ORD599754,13/02/2022,8,P4495,R1003,C-1002,PM-1124,SID-1003,C28222
TRX101149,ORD509849,14/02/2022,2,P0225,R1004,C-1003,PM-1125,SID-1004,C28807
TRX102453,ORD519762,14/02/2022,3,P1894,R1005,C-1004,PM-1126,SID-1001,C22894
TRX103609,ORD526439,14/02/2022,8,P4355,R1006,C-1002,PM-1127,SID-1002,C29800
TRX103730,ORD628324,14/02/2022,6,P4309,R1007,C-1003,PM-1122,SID-1003,C21785
TRX104265,ORD553343,14/02/2022,4,P2707,R1008,C-1004,PM-1122,SID-1001,C22968
TRX104996,ORD664273,15/02/2022,6,P7603,R1009,C-1002,PM-1123,SID-1002,C20787
TRX102491,ORD639968,16/02/2022,3,P8444,R1010,C-1003,PM-1124,SID-1001,C20377
TRX103002,ORD603113,16/02/2022,3,P1566,R1001,C-1004,PM-1125,SID-1002,C27173
